127.0.0.1 - - [28/Oct/2019:22:53:53 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/ HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=1 HTTP/1.1" 200 487935
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=2 HTTP/1.1" 200 358319
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=1 HTTP/1.1" 200 487450
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=2 HTTP/1.1" 200 358676
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=3 HTTP/1.1" 200 358319
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:56 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=3 HTTP/1.1" 200 358676
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/paging.action?page=2 HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=4 HTTP/1.1" 200 1843355
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=4 HTTP/1.1" 200 1845166
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=6 HTTP/1.1" 200 358319
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=6 HTTP/1.1" 200 358676
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=7 HTTP/1.1" 200 358676
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:53:58 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=7 HTTP/1.1" 200 358319
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:00 +0800] "GET /buyhouse/houseControl/paging.action?page=3 HTTP/1.1" 200 2182
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:00 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=9 HTTP/1.1" 200 1843355
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:00 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=9 HTTP/1.1" 200 1845166
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/paging.action?page=1 HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=1 HTTP/1.1" 200 487450
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=1 HTTP/1.1" 200 487935
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=2 HTTP/1.1" 200 358319
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=2 HTTP/1.1" 200 358676
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/getHouseImg.action?id=3 HTTP/1.1" 200 358319
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:54:02 +0800] "GET /buyhouse/houseControl/getHouseImg2.action?id=3 HTTP/1.1" 200 358676
